audit_id,rule_id,source_id,source_authority,requirement,requirement_class,target_part_or_style,expected_value,actual_value_full,actual_value_anonymous,actual_source,automatic_result,visual_result,windows_result,compliance_status,governance_status,blocking_for_phase2_5,blocking_for_phase3,required_action,notes
JFR-021,HFUT-FIG-005;HFUT-FIG-006;HFUT-FIG-007;HFUT-FIG-008,HFUT_FIG_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,Origin/Visio figures remain editable and are not screenshots,TEXTUALLY_EXPLICIT,embedded figure objects,Editable Origin/Visio where applicable,PNG fallback only,PNG fallback only,DOCX media/embeddings inspection,NOT_AUTOMATABLE,PNG displays,WINDOWS_FINAL_REQUIRED,POC_NOT_COVERED,NO_DRIFT,NO,NO,Validate final publication assets with Origin/Visio,
JFR-022,HFUT-WEB-018;HFUT-TBL-003;HFUT-TBL-004,HFUT_WEB_EXCERPT_PDF;HFUT_TABLE_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,Three-line table with top/bottom 1 pt and header rule 0.5 pt,TEXTUALLY_EXPLICIT,table direct borders,top/bottom sz=8; header-cell bottom sz=4; no verticals,"{""borders"":{""bottom"":{""sz"":""8"",""val"":""single""},""insideH"":{""sz"":"""",""val"":""nil""},""insideV"":{""sz"":"""",""val"":""nil""},""left"":{""sz"":"""",""val"":""nil""},""right"":{""sz"":"""",""val"":""nil""},""top"":{""sz"":""8"",""val"":""single""}},""cells"":12,""direct_cell_margins"":[],""direct_run_fonts"":[{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""}],""gridCol_twips"":[""1400"",""1400"",""1600""],""layout"":""ABSENT"",""rows"":4,""style"":""HFUTThreeLineTable"",""tblCellMar"":{},""tblW"":{""type"":""dxa"",""w"":""4400""}}","{""borders"":{""bottom"":{""sz"":""8"",""val"":""single""},""insideH"":{""sz"":"""",""val"":""nil""},""insideV"":{""sz"":"""",""val"":""nil""},""left"":{""sz"":"""",""val"":""nil""},""right"":{""sz"":"""",""val"":""nil""},""top"":{""sz"":""8"",""val"":""single""}},""cells"":12,""direct_cell_margins"":[],""direct_run_fonts"":[{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""}],""gridCol_twips"":[""1400"",""1400"",""1600""],""layout"":""ABSENT"",""rows"":4,""style"":""HFUTThreeLineTable"",""tblCellMar"":{},""tblW"":{""type"":""dxa"",""w"":""4400""}}",DOCX table properties,PASS,Preview visually shows three-line candidate,WINDOWS_FINAL_REQUIRED,PASS_TEXTUALLY_EXPLICIT,NO_DRIFT,NO,NO,Retain direct border enforcement,
JFR-023,HFUT-TBL-005;HFUT-TBL-012,HFUT_TABLE_DOC,TEXT_AND_STYLE_EVIDENCE,Table content 7.5 pt Songti/TNR; cell-margin candidate,TEXTUALLY_EXPLICIT_AND_PROJECT_DERIVED,HFUTTableContent/table cells,7.5 pt Songti/TNR; margin evidence 108/0 twips,"{""content_style"":{""alignment"":""center"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""宋体"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":true,""keepNext"":false,""numbering"":null,""size_half_points"":""15"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""240"",""lineRule"":""exact""},""style_id"":""HFUTTableContent"",""table_properties"":null,""type"":""paragraph""},""table"":{""borders"":{""bottom"":{""sz"":""8"",""val"":""single""},""insideH"":{""sz"":"""",""val"":""nil""},""insideV"":{""sz"":"""",""val"":""nil""},""left"":{""sz"":"""",""val"":""nil""},""right"":{""sz"":"""",""val"":""nil""},""top"":{""sz"":""8"",""val"":""single""}},""cells"":12,""direct_cell_margins"":[],""direct_run_fonts"":[{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""}],""gridCol_twips"":[""1400"",""1400"",""1600""],""layout"":""ABSENT"",""rows"":4,""style"":""HFUTThreeLineTable"",""tblCellMar"":{},""tblW"":{""type"":""dxa"",""w"":""4400""}},""table_style"":{""alignment"":"""",""basedOn"":"""",""bold"":false,""fonts"":{},""indent"":{},""italic"":false,""keepLines"":false,""keepNext"":false,""numbering"":null,""size_half_points"":"""",""spacing"":{},""style_id"":""HFUTThreeLineTable"",""table_properties"":{""borders"":{""bottom"":{""sz"":""8"",""val"":""single""},""insideH"":{""sz"":""4"",""val"":""single""},""insideV"":{""sz"":"""",""val"":""nil""},""left"":{""sz"":"""",""val"":""nil""},""right"":{""sz"":"""",""val"":""nil""},""top"":{""sz"":""8"",""val"":""single""}},""cell_margins"":{""bottom"":{""type"":""dxa"",""w"":""0""},""left"":{""type"":""dxa"",""w"":""108""},""right"":{""type"":""dxa"",""w"":""108""},""top"":{""type"":""dxa"",""w"":""0""}},""children"":[""tblBorders"",""tblCellMar""],""conditional_first_row_borders"":[{""bottom"":{""sz"":""4"",""val"":""single""},""insideH"":{""sz"":"""",""val"":""""},""insideV"":{""sz"":"""",""val"":""""},""left"":{""sz"":"""",""val"":""""},""right"":{""sz"":"""",""val"":""""},""top"":{""sz"":"""",""val"":""""}}],""layout"":""ABSENT""},""type"":""table""}}","{""content_style"":{""alignment"":""center"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""宋体"",""hAnsi"":""Times New Roman""},""indent"":{},""italic"":false,""keepLines"":true,""keepNext"":false,""numbering"":null,""size_half_points"":""15"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""240"",""lineRule"":""exact""},""style_id"":""HFUTTableContent"",""table_properties"":null,""type"":""paragraph""},""table"":{""borders"":{""bottom"":{""sz"":""8"",""val"":""single""},""insideH"":{""sz"":"""",""val"":""nil""},""insideV"":{""sz"":"""",""val"":""nil""},""left"":{""sz"":"""",""val"":""nil""},""right"":{""sz"":"""",""val"":""nil""},""top"":{""sz"":""8"",""val"":""single""}},""cells"":12,""direct_cell_margins"":[],""direct_run_fonts"":[{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""}],""gridCol_twips"":[""1400"",""1400"",""1600""],""layout"":""ABSENT"",""rows"":4,""style"":""HFUTThreeLineTable"",""tblCellMar"":{},""tblW"":{""type"":""dxa"",""w"":""4400""}},""table_style"":{""alignment"":"""",""basedOn"":"""",""bold"":false,""fonts"":{},""indent"":{},""italic"":false,""keepLines"":false,""keepNext"":false,""numbering"":null,""size_half_points"":"""",""spacing"":{},""style_id"":""HFUTThreeLineTable"",""table_properties"":{""borders"":{""bottom"":{""sz"":""8"",""val"":""single""},""insideH"":{""sz"":""4"",""val"":""single""},""insideV"":{""sz"":"""",""val"":""nil""},""left"":{""sz"":"""",""val"":""nil""},""right"":{""sz"":"""",""val"":""nil""},""top"":{""sz"":""8"",""val"":""single""}},""cell_margins"":{""bottom"":{""type"":""dxa"",""w"":""0""},""left"":{""type"":""dxa"",""w"":""108""},""right"":{""type"":""dxa"",""w"":""108""},""top"":{""type"":""dxa"",""w"":""0""}},""children"":[""tblBorders"",""tblCellMar""],""conditional_first_row_borders"":[{""bottom"":{""sz"":""4"",""val"":""single""},""insideH"":{""sz"":"""",""val"":""""},""insideV"":{""sz"":"""",""val"":""""},""left"":{""sz"":"""",""val"":""""},""right"":{""sz"":"""",""val"":""""},""top"":{""sz"":"""",""val"":""""}}],""layout"":""ABSENT""},""type"":""table""}}",DOCX styles.xml/document.xml,PASS,Preview supports candidate,WINDOWS_FINAL_REQUIRED,PASS_STYLE_EVIDENCE_CONFIRMED,NO_DRIFT,NO,NO,Validate final table fonts and cell margins,
JFR-024,HFUT-AUDIT-TABLE-CONTRACT,REFERENCE_STYLE_MAP;REFERENCE_DOCX_DESIGN,PROJECT_GOVERNANCE,Table inheritance and layout strategy remain synchronized,PROJECT_DERIVED_CANDIDATE,HFUTThreeLineTable basedOn; tblPr/tblW/tblLayout/gridCol,"Canonical may retain basedOn=TableNormal; v7 may omit basedOn; direct tblW=4400, grid=1400/1400/1600, no fixed layout","{""actual_based_on"":"""",""style_map_based_on"":""TableNormal"",""table"":{""borders"":{""bottom"":{""sz"":""8"",""val"":""single""},""insideH"":{""sz"":"""",""val"":""nil""},""insideV"":{""sz"":"""",""val"":""nil""},""left"":{""sz"":"""",""val"":""nil""},""right"":{""sz"":"""",""val"":""nil""},""top"":{""sz"":""8"",""val"":""single""}},""cells"":12,""direct_cell_margins"":[],""direct_run_fonts"":[{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""}],""gridCol_twips"":[""1400"",""1400"",""1600""],""layout"":""ABSENT"",""rows"":4,""style"":""HFUTThreeLineTable"",""tblCellMar"":{},""tblW"":{""type"":""dxa"",""w"":""4400""}}}","{""actual_based_on"":"""",""style_map_based_on"":""TableNormal"",""table"":{""borders"":{""bottom"":{""sz"":""8"",""val"":""single""},""insideH"":{""sz"":"""",""val"":""nil""},""insideV"":{""sz"":"""",""val"":""nil""},""left"":{""sz"":"""",""val"":""nil""},""right"":{""sz"":"""",""val"":""nil""},""top"":{""sz"":""8"",""val"":""single""}},""cells"":12,""direct_cell_margins"":[],""direct_run_fonts"":[{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""},{""ascii"":"""",""eastAsia"":"""",""size_half_points"":""""}],""gridCol_twips"":[""1400"",""1400"",""1600""],""layout"":""ABSENT"",""rows"":4,""style"":""HFUTThreeLineTable"",""tblCellMar"":{},""tblW"":{""type"":""dxa"",""w"":""4400""}}}",Style Map; canonical/v7 styles.xml; v7 document.xml,PASS,Stable preview candidate,WORD_RESULT_SUPPORTS_DIRECT_LAYOUT,PASS_PROJECT_DERIVED_CANDIDATE,NO_DRIFT,NO,NO,Retain the documented layer-specific inheritance and direct-layout contract,
JFR-025,HFUT-AUDIT-REFERENCE-HEADING-STYLE,REFERENCE_STYLE_MAP,PROJECT_GOVERNANCE,Reference heading uses HFUTReferenceHeading,PROJECT_DERIVED_CANDIDATE,reference heading paragraph style,HFUTReferenceHeading,HFUTReferenceHeading,HFUTReferenceHeading,DOCX document.xml,PASS,Preview shows reference heading,WINDOWS_FINAL_REQUIRED,PASS_PROJECT_DERIVED_CANDIDATE,NO_DRIFT,NO,NO,Retain semantic style,
JFR-026,HFUT-AUDIT-REFERENCE-HEADING-NUMBERING,HFUT_WEB_EXCERPT_PDF;HFUT_REF_DOC,NO_SOURCE_AUTHORIZATION_FOUND,Reference heading must not inherit unauthorized body-heading numbering,PROJECT_GOVERNANCE,reference heading pPr/numPr and Style Map numbering_level,No direct numPr; Style Map numbering_level blank,"{""paragraph"":{""direct_numPr"":null,""direct_spacing"":null,""drawings"":0,""keepLines"":false,""keepNext"":false,""omath"":0,""omathPara"":0,""pageBreakBefore"":false,""style"":""HFUTReferenceHeading"",""text"":""参考文献""},""resolved_visual"":""参考文献"",""style_map_numbering_level"":""""}","{""paragraph"":{""direct_numPr"":null,""direct_spacing"":null,""drawings"":0,""keepLines"":false,""keepNext"":false,""omath"":0,""omathPara"":0,""pageBreakBefore"":false,""style"":""HFUTReferenceHeading"",""text"":""参考文献""},""resolved_visual"":""参考文献"",""style_map_numbering_level"":""""}",DOCX document.xml; Style Map; frozen LibreOffice preview,PASS,Both v7 previews display unnumbered 参考文献 while 0/1/1.1/1.1.1 remain intact,WINDOWS_V7_FIRST_OPEN_REQUIRED,PASS_PROJECT_DERIVED_CANDIDATE,NO_DRIFT,NO,NO,Retain the inspector guard against REFERENCE_HEADING_NUMBERING_DRIFT,Neither journal source nor Style Map authorizes reference-heading numbering
JFR-027,HFUT-REF-002,HFUT_REF_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,Reference entries use 7.5 pt Songti/TNR and exact 14-pt spacing,TEXTUALLY_EXPLICIT,HFUTReferenceEntry,7.5 pt Songti/TNR; exact 280 twips,"{""alignment"":""left"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""宋体"",""hAnsi"":""Times New Roman""},""indent"":{""firstLine"":"""",""hanging"":""360"",""left"":""360"",""right"":""""},""italic"":false,""keepLines"":true,""keepNext"":false,""numbering"":null,""size_half_points"":""15"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""280"",""lineRule"":""exact""},""style_id"":""HFUTReferenceEntry"",""table_properties"":null,""type"":""paragraph""}","{""alignment"":""left"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""宋体"",""hAnsi"":""Times New Roman""},""indent"":{""firstLine"":"""",""hanging"":""360"",""left"":""360"",""right"":""""},""italic"":false,""keepLines"":true,""keepNext"":false,""numbering"":null,""size_half_points"":""15"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""280"",""lineRule"":""exact""},""style_id"":""HFUTReferenceEntry"",""table_properties"":null,""type"":""paragraph""}",DOCX styles.xml,PASS,Preview supports candidate,WINDOWS_FINAL_REQUIRED,PASS_TEXTUALLY_EXPLICIT,NO_DRIFT,NO,NO,Retain and validate final mixed-language runs,
JFR-028,HFUT-WEB-023;HFUT-REF-002,HFUT_WEB_EXCERPT_PDF;HFUT_REF_DOC,TEXTUALLY_EXPLICIT_AND_PROJECT_DERIVED,References ordered by first citation; hanging indent candidate,MIXED_AUTHORITY,citations and HFUTReferenceEntry,Sequential order; 360-twip project candidate,"{""entry_count"":5,""style"":{""alignment"":""left"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""宋体"",""hAnsi"":""Times New Roman""},""indent"":{""firstLine"":"""",""hanging"":""360"",""left"":""360"",""right"":""""},""italic"":false,""keepLines"":true,""keepNext"":false,""numbering"":null,""size_half_points"":""15"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""280"",""lineRule"":""exact""},""style_id"":""HFUTReferenceEntry"",""table_properties"":null,""type"":""paragraph""}}","{""entry_count"":5,""style"":{""alignment"":""left"",""basedOn"":""Normal"",""bold"":false,""fonts"":{""ascii"":""Times New Roman"",""cs"":""Times New Roman"",""eastAsia"":""宋体"",""hAnsi"":""Times New Roman""},""indent"":{""firstLine"":"""",""hanging"":""360"",""left"":""360"",""right"":""""},""italic"":false,""keepLines"":true,""keepNext"":false,""numbering"":null,""size_half_points"":""15"",""spacing"":{""after"":""0"",""before"":""0"",""line"":""280"",""lineRule"":""exact""},""style_id"":""HFUTReferenceEntry"",""table_properties"":null,""type"":""paragraph""}}",DOCX style usage and content,PASS,Synthetic references are sequential,FINAL_CONTENT_PENDING,PASS_PROJECT_DERIVED_CANDIDATE,NO_DRIFT,NO,YES,Validate real citation order and CSL special rules,
JFR-029,HFUT-WEB-029;HFUT-WEB-031,HFUT_WEB_EXCERPT_PDF,TEXTUALLY_EXPLICIT_AND_PENDING,Full/Anonymous identity boundary,TEXTUALLY_EXPLICIT_WITH_CONSERVATIVE_CHECKS,document body/properties/review artifacts,Anonymous omits author-related information,"{""HFUTAcknowledgement"":1,""HFUTAffiliationCN"":1,""HFUTAffiliationEN"":1,""HFUTAuthorBiography"":0,""HFUTAuthorsCN"":1,""HFUTAuthorsEN"":1,""HFUTFunding"":1}","{""HFUTAcknowledgement"":0,""HFUTAffiliationCN"":0,""HFUTAffiliationEN"":0,""HFUTAuthorBiography"":0,""HFUTAuthorsCN"":0,""HFUTAuthorsEN"":0,""HFUTFunding"":0}",DOCX style/content/property inspection,PASS,Anonymous preview omits synthetic identity block,DOCUMENT_INSPECTOR_REQUIRED,PASS_TEXTUALLY_EXPLICIT,NO_DRIFT,NO,NO,Run final Word Document Inspector,
JFR-030,HFUT-AUDIT-NONIDENTITY-PARTS,PROJECT_POC_CONTRACT,PROJECT_GOVERNANCE,Full/Anonymous non-identity formatting parts are identical,PROJECT_DERIVED_CANDIDATE,all package parts except document/core/custom plus normalized common document structure,Exact nonidentity match,"{""anonymous_only_parts"":[],""full_only_parts"":[],""identity_related_parts"":[""docProps/core.xml"",""docProps/custom.xml"",""word/document.xml"",""word/footer2.xml""],""member_sets_equal"":true,""nonidentity_part_differences"":[],""nonidentity_parts_compared"":[""[Content_Types].xml"",""_rels/.rels"",""docProps/app.xml"",""word/_rels/document.xml.rels"",""word/fontTable.xml"",""word/footer1.xml"",""word/footnotes.xml"",""word/media/poc_figure_fallback.png"",""word/numbering.xml"",""word/settings.xml"",""word/styles.xml"",""word/theme/theme1.xml"",""word/webSettings.xml""],""nonidentity_parts_equal"":true,""normalized_nonidentity_document_equal"":true}","{""anonymous_only_parts"":[],""full_only_parts"":[],""identity_related_parts"":[""docProps/core.xml"",""docProps/custom.xml"",""word/document.xml"",""word/footer2.xml""],""member_sets_equal"":true,""nonidentity_part_differences"":[],""nonidentity_parts_compared"":[""[Content_Types].xml"",""_rels/.rels"",""docProps/app.xml"",""word/_rels/document.xml.rels"",""word/fontTable.xml"",""word/footer1.xml"",""word/footnotes.xml"",""word/media/poc_figure_fallback.png"",""word/numbering.xml"",""word/settings.xml"",""word/styles.xml"",""word/theme/theme1.xml"",""word/webSettings.xml""],""nonidentity_parts_equal"":true,""normalized_nonidentity_document_equal"":true}",Part SHA256 and normalized paragraph comparison,PASS,Common visual format consistent,WINDOWS_FINAL_REQUIRED,PASS_PROJECT_DERIVED_CANDIDATE,NO_DRIFT,NO,NO,Retain variant differential audit,
JFR-031,HFUT-WEB-031,HFUT_WEB_EXCERPT_PDF,PENDING_VERIFICATION,Document properties/comments/revisions are conservatively inspected,CONSERVATIVE_PROJECT_CHECK,docProps and review artifacts,Neutral generator metadata; final Document Inspector,"{""core"":{""created"":""2026-08-06T00:00:00Z"",""creator"":""PAPER_PROJECT_AI_POC"",""description"":""SYNTHETIC_CONTENT; PHASE_3_NOT_AUTHORIZED"",""keywords"":"""",""language"":""zh-CN"",""lastModifiedBy"":""PAPER_PROJECT_AI_POC"",""modified"":""2026-08-06T00:00:00Z"",""subject"":""TOOLCHAIN_POC_ONLY; NOT_PAPER_CONTENT; NOT_SUBMISSION_MANUSCRIPT"",""title"":""Phase 2.5 Step 6 full toolchain POC""},""custom"":{""bibliography"":"""",""csl"":""china-national-standard-gb-t-7714-2025-numeric.csl"",""poc-acknowledgement"":""致谢测试字段：TOOLCHAIN TEST 虚拟致谢"",""poc-affiliation-cn"":""POC测试单位（虚拟），测试省测试市 000000"",""poc-affiliation-en"":""POC Synthetic Unit, Synthetic City 000000, China"",""poc-author-cn"":""POC测试作者"",""poc-author-en"":""POC SYNTHETIC AUTHOR"",""poc-contact"":""poc@example.invalid"",""poc-funding"":""基金测试字段：TOOLCHAIN TEST 虚拟基金 POC-000"",""poc-identity-enabled"":""True"",""poc-variant"":""full"",""reference-section-title"":""参考文献""}}","{""core"":{""created"":""2026-08-06T00:00:00Z"",""creator"":""PAPER_PROJECT_AI_POC"",""description"":""SYNTHETIC_CONTENT; PHASE_3_NOT_AUTHORIZED"",""keywords"":"""",""language"":""zh-CN"",""lastModifiedBy"":""PAPER_PROJECT_AI_POC"",""modified"":""2026-08-06T00:00:00Z"",""subject"":""TOOLCHAIN_POC_ONLY; NOT_PAPER_CONTENT; NOT_SUBMISSION_MANUSCRIPT"",""title"":""Phase 2.5 Step 6 anonymous toolchain POC""},""custom"":{""anonymous-status"":""ANONYMIZED_POC_CANDIDATE"",""bibliography"":"""",""csl"":""china-national-standard-gb-t-7714-2025-numeric.csl"",""poc-identity-enabled"":""False"",""poc-variant"":""anonymous"",""reference-section-title"":""参考文献"",""word-inspector-status"":""NOT_WORD_DOCUMENT_INSPECTOR_VERIFIED""}}",DOCX properties,PASS,Not a visual claim,ANONYMOUS_DOCUMENT_INSPECTOR_REQUIRED,WINDOWS_FINAL_REQUIRED,NO_DRIFT,YES,NO,Run Document Inspector on v7 Anonymous after final Word save,
JFR-032,HFUT-AUDIT-OPENXML,OPENXML_VALIDATOR_REPORT,OFFICIAL_TOOL_RESULT,Official OpenXmlValidator reports zero errors,SCHEMA_VALIDATION,all OOXML parts,0 errors each,"{""anonymous"":0,""full"":0,""reference"":0}","{""anonymous"":0,""full"":0,""reference"":0}",Frozen DocumentFormat.OpenXml 3.5.1 report,PASS,Not a visual/layout acceptance claim,NOT_APPLICABLE,PASS_STYLE_EVIDENCE_CONFIRMED,NO_DRIFT,NO,NO,Rerun after any remediation,
JFR-033,HFUT-AUDIT-WORD-FIRST-OPEN,WORD_V6_REMEDIATION_REPORT,REQUIRED_MANUAL_ACCEPTANCE,Untouched v7 first-open in Microsoft Word produces no repair prompt,WINDOWS_MANUAL,Full/Anonymous v7 packages,No unreadable-content prompt,v6 first-open PASS; v7 not tested,v6 first-open PASS; v7 not tested,Word v6 manual acceptance plus v7 remediation report,NOT_AUTOMATABLE,LibreOffice cannot substitute,WINDOWS_V7_FIRST_OPEN_REQUIRED,WINDOWS_FINAL_REQUIRED,NO_DRIFT,YES,NO,Open untouched v7 files in Microsoft Word and record the first-open result,
JFR-034,HFUT-AUDIT-WORD-REOPEN,WINDOWS_WORD_POC_CHECKLIST,REQUIRED_MANUAL_ACCEPTANCE,"Save, close, and reopen both accepted v7 documents",WINDOWS_MANUAL,Word-saved v7 derivatives,Normal reopen; no repair prompt,Not tested for v7,Not tested for v7,Frozen Windows checklist,NOT_AUTOMATABLE,Not covered by LibreOffice preview,WINDOWS_V7_SAVE_REOPEN_REQUIRED,WINDOWS_FINAL_REQUIRED,NO_DRIFT,YES,NO,Perform save/close/reopen after v7 first-open acceptance,
JFR-035,HFUT-AUDIT-FIRST-PAGE-FLOW,PUBLISHED_VISUAL_EXAMPLES,VISUAL_EXAMPLE_ONLY,First-page body flow is assessed without elevating a visual example to a rule,VISUAL_CANDIDATE,section break/page breaks/rendered pagination,No mandatory first-page body-start rule established,"{""explicit_breaks"":[],""observed"":""body begins page 2"",""sections"":[{""columns"":{""num"":""1"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml"",""first"":""word/footer2.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":true,""type"":""continuous""},{""columns"":{""num"":""2"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":false,""type"":""nextPage(default)""}]}","{""explicit_breaks"":[],""observed"":""body begins page 2"",""sections"":[{""columns"":{""num"":""1"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml"",""first"":""word/footer2.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":true,""type"":""continuous""},{""columns"":{""num"":""2"",""space"":""425""},""footer_references"":{""default"":""word/footer1.xml""},""margins"":{""bottom"":""1134"",""footer"":""720"",""gutter"":""0"",""header"":""720"",""left"":""1304"",""right"":""1304"",""top"":""1361""},""page"":{""h"":""16838"",""orient"":""portrait"",""w"":""11906""},""titlePg"":false,""type"":""nextPage(default)""}]}",DOCX OOXML plus frozen LibreOffice preview,PASS,Body starts page 2 due front-matter length/keep/continuous column conversion; no explicit pageBreak,WINDOWS_FINAL_REQUIRED,PASS_PROJECT_DERIVED_CANDIDATE,NO_DRIFT,NO,NO,Treat as visual candidate only; reassess with real front matter,No frozen textual rule requires body on page 1
JFR-036,HFUT-AUDIT-FIELD-POLICY,REFERENCE_DOCX_DESIGN;REFERENCE_DOCX_REPORT,PROJECT_GOVERNANCE,Field-update policy is described consistently,PROJECT_DERIVED_CANDIDATE,word/settings.xml updateFields,"Design, Report, canonical, and v7 omit updateFields; PAGE uses controlled Ctrl+A/F9 refresh","{""updateFields_present"":false,""updateFields_value"":""ABSENT""}","{""updateFields_present"":false,""updateFields_value"":""ABSENT""}",Design/Report; canonical/v7 settings.xml,PASS,PAGE renders in preview,MANUAL_REFRESH_REQUIRED,PASS_PROJECT_DERIVED_CANDIDATE,NO_DRIFT,NO,NO,Retain the controlled Ctrl+A/F9 refresh policy,
JFR-037,HFUT-AUDIT-NATIVE-TOOLS,HFUT_FMT_DOC;HFUT_FIG_DOC,TEXTUALLY_EXPLICIT_REQUIREMENT,MathType/Visio/Origin publication-object boundary remains explicit,TOOL_BOUNDARY,embeddings and native editability,Applicable final objects editable in required native tools,POC contains OMML and PNG only,POC contains OMML and PNG only,DOCX embeddings/media inspection,NOT_AUTOMATABLE,Display candidates only,WINDOWS_FINAL_REQUIRED,POC_NOT_COVERED,NO_DRIFT,NO,NO,Defer native-tool checks to final publication assets; do not claim POC coverage,
